time_from_start,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,angular_acc_x,angular_acc_y,angular_acc_z,angular_jerk_x,angular_jerk_y,angular_jerk_z,angular_snap_x,angular_snap_y,angular_snap_z,heading,heading_rate,heading_acc
0.56,-19.20639799,19.99999763,3,4.1150704,0,0,13.52761005,2E-08,-7E-08,5.89510603,-2E-08,7E-08,-128.96738172,-2.2E-07,1.03E-06,0.8908044,0,0.45438698,0,0,0.20772109,0,0,0,0,0,0,0,0,0,0,0,0,0
0.58,-19.12138406,19.99999763,3,4.38662998,0,0,13.6197838,2E-08,-7E-08,3.32619853,-2E-08,9E-08,-127.7890438,-2.2E-07,9.9E-07,0.8900708,0,0.45582229,0,0,0.116289,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6,-19.03092392,19.99999763,3,4.65952109,0,0,13.66086802,1E-08,-7E-08,0.78876427,-2E-08,1.1E-07,-125.82770803,-2.1E-07,9.4E-07,0.88974519,0,0.45645756,0,0,0.02769315,0,0,0,0,0,0,0,0,0,0,0,0,0
0.62,-18.93500111,19.99999763,3,4.93272926,0,0,13.65164573,1E-08,-6E-08,-1.70199583,-3E-08,1.3E-07,-123.12927762,-1.9E-07,8.9E-07,0.8898182,0,0.4563152,0,0,-0.05886844,0,0,0,0,0,0,0,0,0,0,0,0,0
0.64,-18.83361928,19.99999763,3,5.20525866,0,-1E-08,13.59319477,1E-08,-6E-08,-4.1317989,-3E-08,1.5E-07,-119.73965581,-1.8E-07,8.3E-07,0.89028199,0,0.45540969,0,0,-0.1441425,0,0,0,0,0,0,0,0,0,0,0,0,0
0.66,-18.72680177,19.99999763,3,5.47613783,0,-1E-08,13.48686946,1E-08,-6E-08,-6.48728014,-4E-08,1.6E-07,-115.70474581,-1.7E-07,7.6E-07,0.89112999,0,0.4537481,0,0,-0.22882326,0,0,0,0,0,0,0,0,0,0,0,0,0
0.68,-18.61459106,19.99999763,3,5.74442498,0,-1E-08,13.33428223,1E-08,-6E-08,-8.75599283,-4E-08,1.8E-07,-111.07045084,-1.5E-07,7E-07,0.89235682,0,0.45133059,0,0,-0.31355419,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,-18.49704811,19.99999763,3,6.009213,0,-1E-08,13.13728526,1E-08,-5E-08,-10.9264083,-4E-08,1.9E-07,-105.88267413,-1.4E-07,6.2E-07,0.89395794,0,0.44815086,0,0,-0.39892796,0,0,0,0,0,0,0,0,0,0,0,0,0
0.72,-18.37425166,19.99999763,3,6.2696341,0,-1E-08,12.89795215,1E-08,-5E-08,-12.98791594,-4E-08,2E-07,-100.1873189,-1.2E-07,5.5E-07,0.89592935,0,0.44419658,0,0,-0.48548392,0,0,0,0,0,0,0,0,0,0,0,0,0
0.74,-18.24629736,19.99999763,3,6.52486399,0,-1E-08,12.6185595,1E-08,-4E-08,-14.93082322,-5E-08,2.1E-07,-94.03028837,-1E-07,4.7E-07,0.89826714,0,0.43944983,0,0,-0.57370239,0,0,0,0,0,0,0,0,0,0,0,0,0
0.76,-18.1132969,19.99999763,3,6.77412579,0,-1E-08,12.30156859,1E-08,-4E-08,-16.74635566,-5E-08,2.2E-07,-87.45748577,-9E-08,3.9E-07,0.900967,0,0.43388763,0,0,-0.66399512,0,0,0,0,0,0,0,0,0,0,0,0,0
0.78,-17.97537697,19.99999763,3,7.01669356,0,-1E-08,11.94960702,1E-08,-4E-08,-18.42665685,-5E-08,2.3E-07,-80.51481431,-7E-08,3.1E-07,0.90402361,0,0.42748253,0,0,-0.75669121,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8,-17.83267827,19.99999763,3,7.25189541,0,-1E-08,11.56545032,1E-08,-3E-08,-19.96478846,-5E-08,2.3E-07,-73.24817721,-5E-08,2.2E-07,0.90742995,0,0.42020338,0,0,-0.85201771,0,0,0,0,0,0,0,0,0,0,0,0,0
0.82,-17.68535437,19.99999763,3,7.47911628,0,-1E-08,11.15200362,1E-08,-3E-08,-21.35473019,-5E-08,2.4E-07,-65.70347771,-3E-08,1.4E-07,0.91117646,0,0.41201633,0,0,-0.95007463,0,0,0,0,0,0,0,0,0,0,0,0,0
0.84,-17.53357055,19.99999763,3,7.69780037,0,-1E-08,10.71228326,0,-2E-08,-22.59137984,-5E-08,2.4E-07,-57.92661902,-1E-08,5E-08,0.91525015,0,0.40288604,0,0,-1.05080384,0,0,0,0,0,0,0,0,0,0,0,0,0
0.86,-17.37750258,19.99999763,3,7.90745316,0,-2E-08,10.24939847,0,-2E-08,-23.67055325,-5E-08,2.4E-07,-49.96350436,1E-08,-4E-08,0.91963358,0,0.3927774,0,0,-1.15395232,0,0,0,0,0,0,0,0,0,0,0,0,0
0.88,-17.21733552,19.99999763,3,8.10764309,0,-2E-08,9.76653295,0,-1E-08,-24.58898433,-5E-08,2.4E-07,-41.86003695,3E-08,-1.2E-07,0.92430381,0,0.38165752,0,0,-1.25903083,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9,-17.05326241,19.99999763,3,8.29800287,0,-2E-08,9.26692657,0,-1E-08,-25.34432506,-5E-08,2.3E-07,-33.66212002,5E-08,-2.1E-07,0.92923137,0,0.36949839,0,0,-1.3652703,0,0,0,0,0,0,0,0,0,0,0,0,0
0.92,-16.88548297,19.99999763,3,8.4782304,0,-2E-08,8.75385696,0,0,-25.93514549,-5E-08,2.3E-07,-25.4156568,6E-08,-2.9E-07,0.93437928,0,0.3562799,0,0,-1.47158,0,0,0,0,0,0,0,0,0,0,0,0,0
0.94,-16.71420233,19.99999763,3,8.64808937,0,-2E-08,8.23062117,0,0,-26.36093371,-5E-08,2.2E-07,-17.16655049,8E-08,-3.7E-07,0.9397023,0,0.34199355,0,0,-1.57651326,0,0,0,0,0,0,0,0,0,0,0,0,0
0.96,-16.53962967,19.99999763,3,8.80740946,0,-2E-08,7.70051732,0,1E-08,-26.62209591,-5E-08,2.1E-07,-8.96070433,1E-07,-4.5E-07,0.94514659,0,0.32664647,0,0,-1.67824872,0,0,0,0,0,0,0,0,0,0,0,0,0
0.98,-16.36197692,19.99999763,3,8.95608616,0,-2E-08,7.16682621,0,1E-08,-26.71995631,-4E-08,2E-07,-0.84402153,1.1E-07,-5.2E-07,0.95064986,0,0.31026576,0,0,-1.77459654,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-16.18145745,19.99999763,3,9.09408024,0,-2E-08,6.632793,0,2E-08,-26.65675721,-4E-08,1.9E-07,7.13759468,1.3E-07,-5.9E-07,0.95614225,0,0.29290272,0,0,-1.86303925,0,0,0,0,0,0,0,0,0,0,0,0,0
1.02,-15.99828478,19.99999763,3,9.22141689,0,-1E-08,6.10160879,0,2E-08,-26.43565899,-4E-08,1.8E-07,14.93824107,1.4E-07,-6.6E-07,0.96154808,0,0.27463664,0,0,-1.94081559,0,0,0,0,0,0,0,0,0,0,0,0,0
1.04,-15.81267125,19.99999763,3,9.3381844,0,-1E-08,5.57639232,0,2E-08,-26.06074006,-4E-08,1.7E-07,22.51201444,1.6E-07,-7.2E-07,0.96678857,0,0.25557749,0,0,-2.00505099,0,0,0,0,0,0,0,0,0,0,0,0,0
1.06,-15.62482688,19.99999763,3,9.44453257,0,-1E-08,5.06017155,-1E-08,3E-08,-25.53699692,-3E-08,1.5E-07,29.81301155,1.7E-07,-7.8E-07,0.97178532,0,0.23586712,0,0,-2.05293115,0,0,0,0,0,0,0,0,0,0,0,0,0
1.08,-15.43495803,19.99999763,3,9.54067072,0,-1E-08,4.55586537,-1E-08,3E-08,-24.87034413,-3E-08,1.4E-07,36.79532919,1.8E-07,-8.3E-07,0.97646449,0,0.21567824,0,0,-2.08190594,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1,-15.24326635,19.99999763,3,9.62686526,0,-1E-08,4.06626517,-1E-08,3E-08,-24.0676143,-3E-08,1.2E-07,43.41306413,1.9E-07,-8.7E-07,0.98076126,0,0.19521106,0,0,-2.08990118,0,0,0,0,0,0,0,0,0,0,0,0,0
1.12,-15.04994758,19.99999763,3,9.70343704,0,-1E-08,3.59401651,-1E-08,3E-08,-23.13655813,-2E-08,1E-07,49.62031315,2E-07,-9.1E-07,0.98462393,0,0.17468746,0,0,-2.07550946,0,0,0,0,0,0,0,0,0,0,0,0,0
1.14,-14.85519055,19.99999763,3,9.77075818,0,-1E-08,3.14160077,-1E-08,3E-08,-22.08584437,-2E-08,8E-08,55.37117302,2.1E-07,-9.4E-07,0.98801733,0,0.15434301,0,0,-2.03813022,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16,-14.65917614,19.99999763,3,9.82924866,0,-1E-08,2.71131675,-1E-08,4E-08,-20.92505983,-1E-08,6E-08,60.61974054,2.1E-07,-9.6E-07,0.99092477,0,0.13441763,0,0,-1.97803574,0,0,0,0,0,0,0,0,0,0,0,0,0
1.18,-14.46207639,19.99999763,3,9.87937243,0,-1E-08,2.30526235,-1E-08,4E-08,-19.66470939,-1E-08,4E-08,65.32011246,2.1E-07,-9.7E-07,0.99334861,0,0.11514577,0,0,-1.89635229,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2,-14.26405367,19.99999763,3,9.92163326,0,-1E-08,1.9253162,-1E-08,4E-08,-18.31621599,-1E-08,3E-08,69.42638558,2.1E-07,-9.8E-07,0.99530899,0,0.09674713,0,0,-1.79496157,0,0,0,0,0,0,0,0,0,0,0,0,0
1.22,-14.06525989,19.99999763,3,9.95657013,0,-1E-08,1.57311926,-1E-08,4E-08,-16.89192064,0,1E-08,72.89265667,2.1E-07,-9.7E-07,0.99684134,0,0.07941879,0,0,-1.67634198,0,0,0,0,0,0,0,0,0,0,0,0,0
1.24,-13.8658359,19.99999763,3,9.98475232,0,-1E-08,1.25005653,-1E-08,4E-08,-15.40508242,0,-1E-08,75.6730225,2.1E-07,-9.6E-07,0.99799268,0,0.06332944,0,0,-1.54337817,0,0,0,0,0,0,0,0,0,0,0,0,0
1.26,-13.66591087,19.99999763,3,10.00677409,0,-1E-08,0.95723861,-1E-08,4E-08,-13.86987847,1E-08,-3E-08,77.72157986,2E-07,-9.3E-07,0.99881755,0,0.04861578,0,0,-1.39916929,0,0,0,0,0,0,0,0,0,0,0,0,0
1.28,-13.46560192,19.99999763,3,10.02324902,0,-1E-08,0.6954834,-1E-08,4E-08,-12.30140397,1E-08,-5E-08,78.99242552,2E-07,-9E-07,0.99937389,0,0.03538108,0,0,-1.24686163,0,0,0,0,0,0,0,0,0,0,0,0,0
